rel_paths	fnames	last_mc	last_mn	KeySig	TimeSig	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	musescore	ambitus	originalFormat	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument
MS3	085 Wie schön leuchtet der Morgenstern	16	16	1: 2	1: 4/4	0										2021-11-22	Linux			3.6.2	38-74 (D2-D5)	cap	57-74 (A3-D5)	Sopran/Alt	38-66 (D2-F#4)	Tenor/Baß
MS3	086 Du, o schönes Weltgebäude	13	13	1: -2	1: 4/4	0										2021-11-22	Linux			3.6.2	36-75 (C2-Eb5)	cap	55-75 (G3-Eb5)	Sopran/Alt	36-64 (C2-E4)	Tenor/Baß
MS3	087 O Haupt voll Blut und Wunden	14	14	1: 2	1: 4/4	0										2021-11-22	Linux			3.6.2	42-76 (F#2-E5)	cap	59-76 (B3-E5)	Sopran/Alt	42-66 (F#2-F#4)	Tenor/Baß
MS3	088 Helft mir Gottes Güte preisen	14	14	1: 0	1: 4/4	0										2021-11-22	Linux			3.6.2	43-76 (G2-E5)	cap	57-76 (A3-E5)	Sopran/Alt	43-65 (G2-F4)	Tenor/Baß
MS3	089 O Haupt voll Blut und Wunden	14	14	1: 2	1: 4/4	0										2021-11-22	Linux			3.6.2	42-76 (F#2-E5)	cap	59-76 (B3-E5)	Sopran/Alt	42-67 (F#2-G4)	Tenor/Baß
MS3	090 Hast du denn, Jesu, dein...	13	13	1: -2	1: 3/4	0										2021-11-22	Linux			3.6.2	46-79 (Bb2-G5)	cap	58-79 (Bb3-G5)	Sopran/Alt	46-67 (Bb2-G4)	Tenor/Baß
MS3	091 Verleih uns Frieden gnädiglich	28	28	1: 3	1: 4/4	0										2021-11-22	Linux			3.6.2	40-76 (E2-E5)	cap	61-76 (C#4-E5)	Sopran/Alt	40-66 (E2-F#4)	Tenor/Baß
MS3	092 O Jesu Christ, du höchstes Gut	13	13	1: 2	1: 4/4	0										2021-11-22	Linux			3.6.2	45-78 (A2-F#5)	cap	61-78 (C#4-F#5)	Sopran/Alt	45-67 (A2-G4)	Tenor/Baß
MS3	093 Wach auf mein Herz und singe	17	17	1: -2	1: 3/4	0										2021-11-22	Linux			3.6.2	46-75 (Bb2-Eb5)	cap	62-75 (D4-Eb5)	Sopran/Alt	46-63 (Bb2-Eb4)	Tenor/Baß
MS3	094 Warum betrübst du dich, mein Herz	11	11	1: -2	1: 4/4	0										2021-11-22	Linux			3.6.2	43-74 (G2-D5)	cap	62-74 (D4-D5)	Sopran/Alt	43-67 (G2-G4)	Tenor/Baß
MS3	095 Werde munter, mein Gemüte	12	12	1: -2	1: 4/4	0										2021-11-22	Linux			3.6.2	46-79 (Bb2-G5)	cap	62-79 (D4-G5)	Sopran/Alt	46-65 (Bb2-F4)	Tenor/Baß
MS3	096 Jesu, meine Freude	13	13	1: -1	1: 4/4	0										2021-11-22	Linux			3.6.2	40-77 (E2-F5)	cap	57-77 (A3-F5)	Sopran/Alt	40-65 (E2-F4)	Tenor/Baß
MS3	097 Nun bitten wir den Heiligen Geist	16	16	1: 3	1: 4/4	0										2021-11-22	Linux			3.6.2	41-78 (E#2-F#5)	cap	56-78 (G#3-F#5)	Sopran/Alt	41-64 (E#2-E4)	Tenor/Baß
MS3	098 O Haupt voll Blut und Wunden	14	14	1: 2	1: 4/4	0										2021-11-22	Linux			3.6.2	38-76 (D2-E5)	cap	61-76 (C#4-E5)	Sopran/Alt	38-66 (D2-F#4)	Tenor/Baß
MS3	099 Helft mir Gottes Güte preisen	14	14	1: 0	1: 4/4	0										2021-11-22	Linux			3.6.2	44-76 (G#2-E5)	cap	61-76 (C#4-E5)	Sopran/Alt	44-67 (G#2-G4)	Tenor/Baß
MS3	100 Ich ruf zu dir, Herr Jesu Christ	15	15	1: -2	1: 4/4	0										2021-11-22	Linux			3.6.2	39-74 (Eb2-D5)	cap	57-74 (A3-D5)	Sopran/Alt	39-62 (Eb2-D4)	Tenor/Baß
MS3	101 Herr Christ, der ein'ge Gottes Sohn	11	11	1: -2	1: 4/4	0										2021-11-22	Linux			3.6.2	41-77 (F2-F5)	cap	60-77 (C4-F5)	Sopran/Alt	41-67 (F2-G4)	Tenor/Baß
MS3	102 Ermuntre dich, mein schwacher Geist	22	22	1: 1	1: 3/4	0										2021-11-22	Linux			3.6.2	43-79 (G2-G5)	cap	59-79 (B3-G5)	Sopran/Alt	43-64 (G2-E4)	Tenor/Baß
MS3	104 Wer nur den lieben Gott läßt walten	11	11	1: 2	1: 4/4	0										2021-11-22	Linux			3.6.2	42-79 (F#2-G5)	cap	61-79 (C#4-G5)	Sopran/Alt	42-67 (F#2-G4)	Tenor/Baß
MS3	105 Herzliebster Jesu, was hast du verbrochen	12	12	1: 2	1: 4/4	0										2021-11-22	Linux			3.6.2	47-79 (B2-G5)	cap	59-79 (B3-G5)	Sopran/Alt	47-67 (B2-G4)	Tenor/Baß
MS3	106 Jesu Leiden, Pein und Tod	16	16	1: 3	1: 4/4	0										2021-11-22	Linux			3.6.2	45-78 (A2-F#5)	cap	61-78 (C#4-F#5)	Sopran/Alt	45-66 (A2-F#4)	Tenor/Baß
